RankRank,Player NamePlayer,TeamTeam,SuccessfulSuccessful,ErrorsSE,AttemptsAttempts,Average per matchaverage-per-match,Success %Success %,TotalTA
49,Gocanin,SRB,0,0,21,0.0,0.0,21
49,Mijatović,SRB,0,0,6,0.0,0.0,6
49,Kneiflova,CZE,0,1,6,0.0,0.0,7
49,Jedlickova,CZE,0,0,1,0.0,0.0,1
49,Svobodova,CZE,0,0,8,0.0,0.0,8
49,Bukovska,CZE,0,1,12,0.0,0.0,13
49,Koulisiani,CZE,0,0,33,0.0,0.0,33
49,Dostalova,CZE,0,0,18,0.0,0.0,18
49,Mlejnkova,CZE,0,0,42,0.0,0.0,42
49,Dite,CZE,0,0,0,,,0
49,Diana,BRA,0,0,23,0.0,0.0,23
49,Lorena,BRA,0,0,9,0.0,0.0,9
49,Aline,BRA,0,0,0,,,0
49,Luzia,BRA,0,0,1,0.0,0.0,1
49,Ana Cristina,BRA,0,0,16,0.0,0.0,16
49,Kika,BRA,0,0,3,0.0,0.0,3
49,Helena,BRA,0,0,1,0.0,0.0,1
49,Jheovana,BRA,0,0,5,0.0,0.0,5
49,Tainara,BRA,0,2,6,0.0,0.0,8
49,Vuchkova,BUL,0,0,13,0.0,0.0,13
49,Naneva,BUL,0,0,0,,,0
49,Dudova,BUL,0,0,1,0.0,0.0,1
49,Karabasheva,BUL,0,0,55,0.0,0.0,55
49,Nikolova M.,BUL,0,0,1,0.0,0.0,1
49,Ninova,BUL,0,1,8,0.0,0.0,9
49,Watson,CAN,0,0,6,0.0,0.0,6
49,Van Ryk,CAN,0,0,14,0.0,0.0,14
49,Murmann,CAN,0,0,6,0.0,0.0,6
49,Mitrovic,CAN,0,1,19,0.0,0.0,20
49,Johnson,CAN,0,0,27,0.0,0.0,27
49,Smrek,CAN,0,2,19,0.0,0.0,21
49,Thokbuom,CAN,0,1,8,0.0,0.0,9
49,Surinx,CAN,0,0,0,,,0
49,Andrews,CAN,0,0,2,0.0,0.0,2
49,JUAH,KOR,0,1,5,0.0,0.0,6
49,DAHYE,KOR,0,2,117,0.0,0.0,119
49,Jua,KOR,0,0,3,0.0,0.0,3
49,Seoyoung,KOR,0,1,29,0.0,0.0,30
49,DAHYEON,KOR,0,0,28,0.0,0.0,28
49,SEBEEN,KOR,0,0,0,,,0
49,YUNJU,KOR,0,0,9,0.0,0.0,9
49,SEONWOO,KOR,0,0,27,0.0,0.0,27
